Lower skin MFCs (in V),Upper skin MFCs (in V),Deflection (in mm),Ptich Angles,,CL,CD
-50,50,-0.36905,-4,,,
,,,0,,0.0040816,0.013112
,,,4,,0.03028,0.014974
,,,8,,0.05619,0.01978
,,,12,,0.082819,0.027705
,,,16,,0.11146,0.039246
,,,20,,0.14247,0.05512
,,,,,,
-50,750,-3.7164,,,,
,,,-4,,0.026064,0.019007
,,,0,,0.05036,0.021472
,,,4,,0.083928,0.027335
,,,8,,0.11415,0.036807
,,,12,,0.14666,0.050432
,,,16,,0.18151,0.068731
,,,20,,0.21954,0.092758
,,,,,,
-50,1500,-7.3029,-4,,0.079766,0.022724
,,,0,,0.1112,0.029644
,,,4,,0.1408,0.040111
,,,8,,0.17346,0.054621
,,,12,,0.20749,0.07349
,,,16,,0.24357,0.097523
,,,20,,0.28309,0.12808
,,,,,,
-100,50,-0.50022,-4,,,
,,,0,,0.0066105,0.017905
,,,4,,0.034292,0.02007
,,,8,,0.061916,0.025409
,,,12,,0.090676,0.034126
,,,16,,0.12218,0.04701
,,,20,,0.15754,0.065097
,,,,,,
-100,750,-3.8463,-4,,0.027375,0.01925
,,,0,,0.056201,0.022316
,,,4,,0.084765,0.026874
,,,8,,0.11477,0.03715
,,,12,,0.14692,0.05095
,,,16,,0.18485,0.07042
,,,20,,0.22285,0.09465
,,,,,,
-100,1500,-7.4328,-4,,0.08312,0.02288
,,,0,,0.11531,0.029771
,,,4,,0.14722,0.040702
,,,8,,0.18019,0.055669
,,,12,,0.21394,0.074941
,,,16,,0.24883,0.099251
,,,20,,0.28629,0.12992
,,,,,,
-150,50,-0.63198,-4,,,
,,,0,,0.0092144,0.021194
,,,4,,0.037687,0.023783
,,,8,,0.06676,0.029552
,,,12,,0.096813,0.038854
,,,16,,0.12995,0.05264
,,,20,,0.16784,0.07224
,,,,,,
-150,750,-3.9762,-4,,0.029524,0.01968
,,,0,,0.058215,0.022943
,,,4,,0.086981,0.028441
,,,8,,0.11535,0.038206
,,,12,,0.15007,0.052105
,,,16,,0.18815,0.07218
,,,20,,0.2261,0.0966
,,,,,,
-150,1500,-7.5627,-4,,0.08647,0.02305
,,,0,,0.11857,0.030362
,,,4,,0.15025,0.041289
,,,8,,0.183,0.056505
,,,12,,0.21667,0.075971
,,,16,,0.25182,0.10032
,,,20,,0.29023,0.13104
,,,,,,
-200,50,-0.76468,-4,,,
,,,0,,0.0124,0.02452
,,,4,,0.040942,0.02641
,,,8,,0.06918,0.03224
,,,12,,0.099543,0.04165
,,,16,,0.1327,0.05625
,,,20,,0.17863,0.07921
,,,,,,
-200,750,-4.1062,-4,,0.030807,0.02005
,,,0,,0.059457,0.023079
,,,4,,0.088035,0.028344
