lower_mfc_v,upper_mfc_v,deflection_mm,pitch_deg,cl,cd
-500.0,50.0,-1.5639,0.0,0.020872,0.03748
-500.0,50.0,-1.5639,4.0,0.05053,0.03985
-500.0,50.0,-1.5639,8.0,0.07886,0.04758
-500.0,50.0,-1.5639,12.0,0.10984,0.05495
-500.0,50.0,-1.5639,16.0,0.14429,0.07512
-500.0,50.0,-1.5639,20.0,0.2128,0.1158
-500.0,750.0,-4.8858,-4.0,0.0535,0.0278
-500.0,750.0,-4.8858,0.0,0.08218,0.02675
-500.0,750.0,-4.8858,4.0,0.113,0.03425
-500.0,750.0,-4.8858,8.0,0.14575,0.04495
-500.0,750.0,-4.8858,12.0,0.17773,0.0608
-500.0,750.0,-4.8858,16.0,0.20985,0.08648
-500.0,750.0,-4.8858,20.0,0.24745,0.11165
-500.0,1500.0,-8.4722,-4.0,0.10992,0.0248
-500.0,1500.0,-8.4722,0.0,0.12991,0.032186
-500.0,1500.0,-8.4722,4.0,0.1638,0.043721
-500.0,1500.0,-8.4722,8.0,0.2173,0.063348
-500.0,1500.0,-8.4722,12.0,0.2335,0.081493
-500.0,1500.0,-8.4722,16.0,0.2694,0.107643
-500.0,1500.0,-8.4722,20.0,0.3079,0.139965
-450.0,50.0,-1.4304,0.0,0.018966,0.034219
-450.0,50.0,-1.4304,4.0,0.0492,0.03682
-450.0,50.0,-1.4304,8.0,0.076914,0.04426
-450.0,50.0,-1.4304,12.0,0.10758,0.05191
-450.0,50.0,-1.4304,16.0,0.14157,0.07125
-450.0,50.0,-1.4304,20.0,0.2079,0.10955
-450.0,750.0,-4.7558,-4.0,0.0502,0.02615
-450.0,750.0,-4.7558,0.0,0.07883,0.02572
-450.0,750.0,-4.7558,4.0,0.10912,0.03282
-450.0,750.0,-4.7558,8.0,0.1413,0.04355
-450.0,750.0,-4.7558,12.0,0.17353,0.0591
-450.0,750.0,-4.7558,16.0,0.2069,0.08422
-450.0,750.0,-4.7558,20.0,0.24455,0.10935
-450.0,1500.0,-8.3423,-4.0,0.10678,0.02435
-450.0,1500.0,-8.3423,0.0,0.12856,0.03196
-450.0,1500.0,-8.3423,4.0,0.1621,0.043419
-450.0,1500.0,-8.3423,8.0,0.20565,0.060368
-450.0,1500.0,-8.3423,12.0,0.2312,0.080711
-450.0,1500.0,-8.3423,16.0,0.2671,0.106668
-450.0,1500.0,-8.3423,20.0,0.3056,0.138798
-400.0,50.0,-1.2972,0.0,0.01706,0.03154
-400.0,50.0,-1.2972,4.0,0.04766,0.03415
-400.0,50.0,-1.2972,8.0,0.07505,0.04151
-400.0,50.0,-1.2972,12.0,0.1054,0.04943
-400.0,50.0,-1.2972,16.0,0.13886,0.06796
-400.0,50.0,-1.2972,20.0,0.2026,0.1036
-400.0,750.0,-4.6259,-4.0,0.0468,0.0247
-400.0,750.0,-4.6259,0.0,0.07548,0.0251
-400.0,750.0,-4.6259,4.0,0.10525,0.03154
-400.0,750.0,-4.6259,8.0,0.13685,0.04232
-400.0,750.0,-4.6259,12.0,0.16923,0.0576
-400.0,750.0,-4.6259,16.0,0.2039,0.08205
-400.0,750.0,-4.6259,20.0,0.2416,0.1071
-400.0,1500.0,-8.2124,-4.0,0.10322,0.0242
-400.0,1500.0,-8.2124,0.0,0.12774,0.031824
-400.0,1500.0,-8.2124,4.0,0.16049,0.043169
-400.0,1500.0,-8.2124,8.0,0.1965,0.059421
-400.0,1500.0,-8.2124,12.0,0.22883,0.080163
-400.0,1500.0,-8.2124,16.0,0.26479,0.10602
-400.0,1500.0,-8.2124,20.0,0.30321,0.137596
-350.0,50.0,-1.164,-4.0,0.012173,0.016483
-350.0,50.0,-1.164,0.0,0.016158,0.02906
-350.0,50.0,-1.164,4.0,0.044395,0.03195
-350.0,50.0,-1.164,8.0,0.074057,0.03892
-350.0,50.0,-1.164,12.0,0.10327,0.04712
-350.0,50.0,-1.164,16.0,0.13643,0.06485
-350.0,50.0,-1.164,20.0,0.19685,0.09762
-350.0,750.0,-4.496,-4.0,0.043148,0.02335
-350.0,750.0,-4.496,0.0,0.07213,0.0249
-350.0,750.0,-4.496,4.0,0.10137,0.030431
-350.0,750.0,-4.496,8.0,0.1323,0.041355
-350.0,750.0,-4.496,12.0,0.16483,0.056363
-350.0,750.0,-4.496,16.0,0.20085,0.07994
-350.0,750.0,-4.496,20.0,0.2386,0.1049
-350.0,1500.0,-8.0824,-4.0,0.09987,0.02393
-350.0,1500.0,-8.0824,0.0,0.12643,0.031609
-350.0,1500.0,-8.0824,4.0,0.15917,0.043002
-350.0,1500.0,-8.0824,8.0,0.19287,0.059075
-350.0,1500.0,-8.0824,12.0,0.22729,0.079583
-350.0,1500.0,-8.0824,16.0,0.26321,0.10518
-350.0,1500.0,-8.0824,20.0,0.30183,0.13704
-300.0,50.0,-1.0308,0.0,0.014955,0.02787
-300.0,50.0,-1.0308,4.0,0.0438,0.02998
-300.0,50.0,-1.0308,8.0,0.07326,0.03664
-300.0,50.0,-1.0308,12.0,0.10245,0.04584
-300.0,50.0,-1.0308,16.0,0.13615,0.06214
-300.0,50.0,-1.0308,20.0,0.1906,0.09154
-300.0,750.0,-4.366,-4.0,0.039169,0.0221
-300.0,750.0,-4.366,0.0,0.067985,0.024214
-300.0,750.0,-4.366,4.0,0.096819,0.02978
-300.0,750.0,-4.366,8.0,0.12776,0.040389
-300.0,750.0,-4.366,12.0,0.16068,0.055109
-300.0,750.0,-4.366,16.0,0.19775,0.0779
-300.0,750.0,-4.366,20.0,0.23555,0.10275
-300.0,1500.0,-7.9525,-4.0,0.09652,0.02368
-300.0,1500.0,-7.9525,0.0,0.1244,0.031279
-300.0,1500.0,-7.9525,4.0,0.1574,0.042602
-300.0,1500.0,-7.9525,8.0,0.1895,0.058012
-300.0,1500.0,-7.9525,12.0,0.2238,0.078249
-300.0,1500.0,-7.9525,16.0,0.2598,0.103627
-300.0,1500.0,-7.9525,20.0,0.2982,0.135105
-250.0,50.0,-0.89766,0.0,0.013653,0.02613
-250.0,50.0,-0.89766,4.0,0.042093,0.02812
-250.0,50.0,-0.89766,8.0,0.07132,0.0345
-250.0,50.0,-0.89766,12.0,0.10125,0.04368
-250.0,50.0,-0.89766,16.0,0.13415,0.05928
-250.0,50.0,-0.89766,20.0,0.18342,0.08465
-250.0,750.0,-4.2361,-4.0,0.034259,0.02085
-250.0,750.0,-4.2361,0.0,0.063239,0.023314
-250.0,750.0,-4.2361,4.0,0.092136,0.029626
-250.0,750.0,-4.2361,8.0,0.12282,0.039851
-250.0,750.0,-4.2361,12.0,0.15584,0.054285
-250.0,750.0,-4.2361,16.0,0.1946,0.07593
-250.0,750.0,-4.2361,20.0,0.23245,0.10065
-250.0,1500.0,-7.8226,-4.0,0.09317,0.02345
-250.0,1500.0,-7.8226,0.0,0.1224,0.03096
-250.0,1500.0,-7.8226,4.0,0.1552,0.042228
-250.0,1500.0,-7.8226,8.0,0.1862,0.057203
-250.0,1500.0,-7.8226,12.0,0.21965,0.076903
-250.0,1500.0,-7.8226,16.0,0.25565,0.10116
-250.0,1500.0,-7.8226,20.0,0.29447,0.133278
-200.0,50.0,-0.76468,0.0,0.0124,0.02452
-200.0,50.0,-0.76468,4.0,0.040942,0.02641
-200.0,50.0,-0.76468,8.0,0.06918,0.03224
-200.0,50.0,-0.76468,12.0,0.099543,0.04165
-200.0,50.0,-0.76468,16.0,0.1327,0.05625
-200.0,50.0,-0.76468,20.0,0.17863,0.07921
-200.0,750.0,-4.1062,-4.0,0.030807,0.02005
-200.0,750.0,-4.1062,0.0,0.059457,0.023079
-200.0,750.0,-4.1062,4.0,0.088035,0.028344
-200.0,750.0,-4.1062,8.0,0.11833,0.03819
-200.0,750.0,-4.1062,12.0,0.15058,0.05312
-200.0,750.0,-4.1062,16.0,0.1914,0.07402
-200.0,750.0,-4.1062,20.0,0.2293,0.0986
-200.0,1500.0,-7.6926,-4.0,0.08982,0.02324
-200.0,1500.0,-7.6926,0.0,0.1205,0.030661
-200.0,1500.0,-7.6926,4.0,0.1528,0.041826
-200.0,1500.0,-7.6926,8.0,0.1843,0.056744
-200.0,1500.0,-7.6926,12.0,0.2185,0.076535
-200.0,1500.0,-7.6926,16.0,0.2538,0.101191
-200.0,1500.0,-7.6926,20.0,0.29195,0.132056
-150.0,50.0,-0.63198,0.0,0.0092144,0.021194
-150.0,50.0,-0.63198,4.0,0.037687,0.023783
-150.0,50.0,-0.63198,8.0,0.06676,0.029552
-150.0,50.0,-0.63198,12.0,0.096813,0.038854
-150.0,50.0,-0.63198,16.0,0.12995,0.05264
-150.0,50.0,-0.63198,20.0,0.16784,0.07224
-150.0,750.0,-3.9762,-4.0,0.029524,0.01968
-150.0,750.0,-3.9762,0.0,0.058215,0.022943
-150.0,750.0,-3.9762,4.0,0.086981,0.028441
-150.0,750.0,-3.9762,8.0,0.11535,0.038206
-150.0,750.0,-3.9762,12.0,0.15007,0.052105
-150.0,750.0,-3.9762,16.0,0.18815,0.07218
-150.0,750.0,-3.9762,20.0,0.2261,0.0966
-150.0,1500.0,-7.5627,-4.0,0.08647,0.02305
-150.0,1500.0,-7.5627,0.0,0.11857,0.030362
-150.0,1500.0,-7.5627,4.0,0.15025,0.041289
-150.0,1500.0,-7.5627,8.0,0.183,0.056505
-150.0,1500.0,-7.5627,12.0,0.21667,0.075971
-150.0,1500.0,-7.5627,16.0,0.25182,0.10032
-150.0,1500.0,-7.5627,20.0,0.29023,0.13104
-100.0,50.0,-0.50022,0.0,0.0066105,0.017905
-100.0,50.0,-0.50022,4.0,0.034292,0.02007
-100.0,50.0,-0.50022,8.0,0.061916,0.025409
-100.0,50.0,-0.50022,12.0,0.090676,0.034126
-100.0,50.0,-0.50022,16.0,0.12218,0.04701
-100.0,50.0,-0.50022,20.0,0.15754,0.065097
-100.0,750.0,-3.8463,-4.0,0.027375,0.01925
-100.0,750.0,-3.8463,0.0,0.056201,0.022316
-100.0,750.0,-3.8463,4.0,0.084765,0.026874
-100.0,750.0,-3.8463,8.0,0.11477,0.03715
-100.0,750.0,-3.8463,12.0,0.14692,0.05095
-100.0,750.0,-3.8463,16.0,0.18485,0.07042
-100.0,750.0,-3.8463,20.0,0.22285,0.09465
-100.0,1500.0,-7.4328,-4.0,0.08312,0.02288
-100.0,1500.0,-7.4328,0.0,0.11531,0.029771
-100.0,1500.0,-7.4328,4.0,0.14722,0.040702
-100.0,1500.0,-7.4328,8.0,0.18019,0.055669
-100.0,1500.0,-7.4328,12.0,0.21394,0.074941
-100.0,1500.0,-7.4328,16.0,0.24883,0.099251
-100.0,1500.0,-7.4328,20.0,0.28629,0.12992
-50.0,50.0,-0.36905,0.0,0.0040816,0.013112
-50.0,50.0,-0.36905,4.0,0.03028,0.014974
-50.0,50.0,-0.36905,8.0,0.05619,0.01978
-50.0,50.0,-0.36905,12.0,0.082819,0.027705
-50.0,50.0,-0.36905,16.0,0.11146,0.039246
-50.0,50.0,-0.36905,20.0,0.14247,0.05512
-50.0,750.0,-3.7164,-4.0,0.026064,0.019007
-50.0,750.0,-3.7164,0.0,0.05036,0.021472
-50.0,750.0,-3.7164,4.0,0.083928,0.027335
-50.0,750.0,-3.7164,8.0,0.11415,0.036807
-50.0,750.0,-3.7164,12.0,0.14666,0.050432
-50.0,750.0,-3.7164,16.0,0.18151,0.068731
-50.0,750.0,-3.7164,20.0,0.21954,0.092758
-50.0,1500.0,-7.3029,-4.0,0.079766,0.022724
-50.0,1500.0,-7.3029,0.0,0.1112,0.029644
-50.0,1500.0,-7.3029,4.0,0.1408,0.040111
-50.0,1500.0,-7.3029,8.0,0.17346,0.054621
-50.0,1500.0,-7.3029,12.0,0.20749,0.07349
-50.0,1500.0,-7.3029,16.0,0.24357,0.097523
-50.0,1500.0,-7.3029,20.0,0.28309,0.12808
