task,model,mae,rmse,r2,augmentation
structural,linear_regression,0.0016437798582957588,0.0029434007556327314,0.9999980384085271,strict
structural,mlp_regressor,0.04970949084554566,0.06382554079663857,0.9990776435747417,strict
aerodynamic_cl,linear_regression,0.0052894164526565155,0.007226569655702947,0.9911056201761245,strict
aerodynamic_cd,linear_regression,0.009517331161395186,0.011940340022097921,0.860249578706259,strict
aerodynamic_cl,mlp_regressor,0.002221476680510713,0.0034259722788160417,0.9980009715527772,strict
aerodynamic_cd,mlp_regressor,0.002093687589476363,0.0030081036928879526,0.9911303732788539,strict
structural,linear_regression,0.0016437798582957588,0.0029434007556327314,0.9999980384085271,noisy
structural,mlp_regressor,0.04970949084554566,0.06382554079663857,0.9990776435747417,noisy
aerodynamic_cl,linear_regression,0.0052894164526565155,0.007226569655702947,0.9911056201761245,noisy
aerodynamic_cd,linear_regression,0.009517331161395186,0.011940340022097921,0.860249578706259,noisy
aerodynamic_cl,mlp_regressor,0.002221476680510713,0.0034259722788160417,0.9980009715527772,noisy
aerodynamic_cd,mlp_regressor,0.002093687589476363,0.0030081036928879526,0.9911303732788539,noisy
