lower_mfc_v,upper_mfc_v,deflection_mm,pitch_deg,cl,cd,is_synthetic
-50.0,1500.0,-7.3029,12.0,0.20749,0.07349,False
-450.0,1500.0,-8.3423,16.0,0.2671,0.106668,False
-450.0,50.0,-1.4304,16.0,0.14157,0.07125,False
-200.0,50.0,-0.76468,4.0,0.040942,0.02641,False
-50.0,1500.0,-7.3029,4.0,0.1408,0.040111,False
-450.0,750.0,-4.7558,8.0,0.1413,0.04355,False
-500.0,1500.0,-8.4722,20.0,0.3079,0.139965,False
-150.0,50.0,-0.63198,8.0,0.06676,0.029552,False
-300.0,50.0,-1.0308,20.0,0.1906,0.09154,False
-250.0,1500.0,-7.8226,-4.0,0.09317,0.02345,False
-100.0,1500.0,-7.4328,-4.0,0.08312,0.02288,False
-500.0,50.0,-1.5639,20.0,0.2128,0.1158,False
-200.0,50.0,-0.76468,20.0,0.17863,0.07921,False
-250.0,1500.0,-7.8226,8.0,0.1862,0.057203,False
-350.0,750.0,-4.496,20.0,0.2386,0.1049,False
-200.0,1500.0,-7.6926,20.0,0.29195,0.132056,False
-300.0,1500.0,-7.9525,12.0,0.2238,0.078249,False
-100.0,750.0,-3.8463,20.0,0.22285,0.09465,False
-300.0,1500.0,-7.9525,4.0,0.1574,0.042602,False
-100.0,750.0,-3.8463,8.0,0.11477,0.03715,False
-300.0,1500.0,-7.9525,8.0,0.1895,0.058012,False
-450.0,750.0,-4.7558,16.0,0.2069,0.08422,False
-500.0,750.0,-4.8858,20.0,0.24745,0.11165,False
-450.0,1500.0,-8.3423,4.0,0.1621,0.043419,False
-250.0,1500.0,-7.8226,16.0,0.25565,0.10116,False
-400.0,50.0,-1.2972,8.0,0.07505,0.04151,False
-50.0,750.0,-3.7164,8.0,0.11415,0.036807,False
-300.0,750.0,-4.366,8.0,0.12776,0.040389,False
-200.0,1500.0,-7.6926,4.0,0.1528,0.041826,False
-400.0,750.0,-4.6259,16.0,0.2039,0.08205,False
-200.0,750.0,-4.1062,-4.0,0.030807,0.02005,False
-100.0,50.0,-0.50022,4.0,0.034292,0.02007,False
-400.0,50.0,-1.2972,4.0,0.04766,0.03415,False
-250.0,1500.0,-7.8226,12.0,0.21965,0.076903,False
-250.0,750.0,-4.2361,20.0,0.23245,0.10065,False
-450.0,750.0,-4.7558,-4.0,0.0502,0.02615,False
-200.0,1500.0,-7.6926,16.0,0.2538,0.101191,False
-300.0,1500.0,-7.9525,20.0,0.2982,0.135105,False
-250.0,750.0,-4.2361,12.0,0.15584,0.054285,False
-500.0,50.0,-1.5639,8.0,0.07886,0.04758,False
-350.0,1500.0,-8.0824,8.0,0.19287,0.059075,False
-400.0,750.0,-4.6259,-4.0,0.0468,0.0247,False
-50.0,1500.0,-7.3029,-4.0,0.079766,0.022724,False
-50.0,750.0,-3.7164,16.0,0.18151,0.068731,False
-300.0,50.0,-1.0308,16.0,0.13615,0.06214,False
-100.0,50.0,-0.50022,0.0,0.0066105,0.017905,False
-450.0,1500.0,-8.3423,8.0,0.20565,0.060368,False
-50.0,750.0,-3.7164,12.0,0.14666,0.050432,False
-350.0,50.0,-1.164,0.0,0.016158,0.02906,False
-450.0,50.0,-1.4304,8.0,0.076914,0.04426,False
-150.0,50.0,-0.63198,0.0,0.0092144,0.021194,False
-250.0,50.0,-0.89766,0.0,0.013653,0.02613,False
-450.0,1500.0,-8.3423,-4.0,0.10678,0.02435,False
-500.0,750.0,-4.8858,16.0,0.20985,0.08648,False
-50.0,1500.0,-7.3029,0.0,0.1112,0.029644,False
-150.0,1500.0,-7.5627,16.0,0.25182,0.10032,False
-500.0,750.0,-4.8858,-4.0,0.0535,0.0278,False
-450.0,750.0,-4.7558,0.0,0.07883,0.02572,False
-250.0,1500.0,-7.8226,20.0,0.29447,0.133278,False
-500.0,50.0,-1.5639,16.0,0.14429,0.07512,False
-450.0,750.0,-4.7558,20.0,0.24455,0.10935,False
-150.0,50.0,-0.63198,4.0,0.037687,0.023783,False
-150.0,50.0,-0.63198,16.0,0.12995,0.05264,False
-250.0,750.0,-4.2361,4.0,0.092136,0.029626,False
-150.0,50.0,-0.63198,12.0,0.096813,0.038854,False
-500.0,750.0,-4.8858,12.0,0.17773,0.0608,False
-350.0,50.0,-1.164,4.0,0.044395,0.03195,False
-250.0,750.0,-4.2361,16.0,0.1946,0.07593,False
-150.0,50.0,-0.63198,20.0,0.16784,0.07224,False
-100.0,50.0,-0.50022,20.0,0.15754,0.065097,False
-500.0,50.0,-1.5639,0.0,0.020872,0.03748,False
-100.0,1500.0,-7.4328,20.0,0.28629,0.12992,False
-150.0,750.0,-3.9762,20.0,0.2261,0.0966,False
-350.0,750.0,-4.496,8.0,0.1323,0.041355,False
-200.0,50.0,-0.76468,8.0,0.06918,0.03224,False
-350.0,50.0,-1.164,12.0,0.10327,0.04712,False
-400.0,50.0,-1.2972,16.0,0.13886,0.06796,False
-100.0,50.0,-0.50022,8.0,0.061916,0.025409,False
-450.0,750.0,-4.7558,4.0,0.10912,0.03282,False
-400.0,50.0,-1.2972,0.0,0.01706,0.03154,False
-250.0,750.0,-4.2361,0.0,0.063239,0.023314,False
-150.0,1500.0,-7.5627,0.0,0.11857,0.030362,False
-150.0,1500.0,-7.5627,4.0,0.15025,0.041289,False
-450.0,50.0,-1.4304,20.0,0.2079,0.10955,False
-450.0,50.0,-1.4304,12.0,0.10758,0.05191,False
-50.0,50.0,-0.36905,16.0,0.11146,0.039246,False
-150.0,750.0,-3.9762,-4.0,0.029524,0.01968,False
-300.0,50.0,-1.0308,0.0,0.014955,0.02787,False
-450.0,1500.0,-8.3423,20.0,0.3056,0.138798,False
-100.0,750.0,-3.8463,0.0,0.056201,0.022316,False
-400.0,750.0,-4.6259,0.0,0.07548,0.0251,False
-300.0,1500.0,-7.9525,-4.0,0.09652,0.02368,False
-150.0,1500.0,-7.5627,-4.0,0.08647,0.02305,False
-400.0,50.0,-1.2972,12.0,0.1054,0.04943,False
-200.0,1500.0,-7.6926,12.0,0.2185,0.076535,False
-500.0,50.0,-1.5639,12.0,0.10984,0.05495,False
-250.0,50.0,-0.89766,16.0,0.13415,0.05928,False
-400.0,1500.0,-8.2124,-4.0,0.10322,0.0242,False
-200.0,750.0,-4.1062,20.0,0.2293,0.0986,False
-50.0,50.0,-0.36905,0.0,0.0040816,0.013112,False
-50.0,1500.0,-7.3029,16.0,0.24357,0.097523,False
-50.0,50.0,-0.36905,20.0,0.14247,0.05512,False
-400.0,750.0,-4.6259,8.0,0.13685,0.04232,False
-350.0,1500.0,-8.0824,20.0,0.30183,0.13704,False
-450.0,1500.0,-8.3423,0.0,0.12856,0.03196,False
-500.0,750.0,-4.8858,0.0,0.08218,0.02675,False
-250.0,750.0,-4.2361,8.0,0.12282,0.039851,False
-300.0,750.0,-4.366,12.0,0.16068,0.055109,False
-300.0,50.0,-1.0308,8.0,0.07326,0.03664,False
-100.0,1500.0,-7.4328,8.0,0.18019,0.055669,False
-50.0,50.0,-0.36905,4.0,0.03028,0.014974,False
-300.0,750.0,-4.366,4.0,0.096819,0.02978,False
-500.0,750.0,-4.8858,4.0,0.113,0.03425,False
-500.0,1500.0,-8.4722,-4.0,0.10992,0.0248,False
-400.0,1500.0,-8.2124,20.0,0.30321,0.137596,False
-100.0,750.0,-3.8463,16.0,0.18485,0.07042,False
-200.0,750.0,-4.1062,12.0,0.15058,0.05312,False
-500.0,1500.0,-8.4722,12.0,0.2335,0.081493,False
-350.0,750.0,-4.496,16.0,0.20085,0.07994,False
-100.0,1500.0,-7.4328,4.0,0.14722,0.040702,False
-200.0,1500.0,-7.6926,-4.0,0.08982,0.02324,False
-100.0,750.0,-3.8463,-4.0,0.027375,0.01925,False
-50.0,50.0,-0.36905,12.0,0.082819,0.027705,False
-350.0,50.0,-1.164,8.0,0.074057,0.03892,False
-400.0,1500.0,-8.2124,0.0,0.12774,0.031824,False
-250.0,750.0,-4.2361,-4.0,0.034259,0.02085,False
-400.0,750.0,-4.6259,12.0,0.16923,0.0576,False
-50.0,1500.0,-7.3029,8.0,0.17346,0.054621,False
-100.0,750.0,-3.8463,4.0,0.084765,0.026874,False
-400.0,1500.0,-8.2124,16.0,0.26479,0.10602,False
-400.0,750.0,-4.6259,4.0,0.10525,0.03154,False
-300.0,750.0,-4.366,0.0,0.067985,0.024214,False
-450.0,50.0,-1.4304,4.0,0.0492,0.03682,False
-400.0,1500.0,-8.2124,12.0,0.22883,0.080163,False
-150.0,1500.0,-7.5627,20.0,0.29023,0.13104,False
-50.0,750.0,-3.7164,20.0,0.21954,0.092758,False
-200.0,750.0,-4.1062,4.0,0.088035,0.028344,False
-450.0,1500.0,-8.3423,12.0,0.2312,0.080711,False
-150.0,1500.0,-7.5627,8.0,0.183,0.056505,False
-50.0,750.0,-3.7164,4.0,0.083928,0.027335,False
-500.0,50.0,-1.5639,4.0,0.05053,0.03985,False
-400.0,750.0,-4.6259,20.0,0.2416,0.1071,False
-150.0,750.0,-3.9762,4.0,0.086981,0.028441,False
-200.0,750.0,-4.1062,8.0,0.11833,0.03819,False
-150.0,750.0,-3.9762,12.0,0.15007,0.052105,False
-250.0,50.0,-0.89766,8.0,0.07132,0.0345,False
-300.0,1500.0,-7.9525,16.0,0.2598,0.103627,False
-250.0,1500.0,-7.8226,4.0,0.1552,0.042228,False
-300.0,750.0,-4.366,-4.0,0.039169,0.0221,False
-350.0,1500.0,-8.0824,-4.0,0.09987,0.02393,False
-200.0,50.0,-0.76468,0.0,0.0124,0.02452,False
-50.0,1500.0,-7.3029,20.0,0.28309,0.12808,False
-450.0,50.0,-1.4304,0.0,0.018966,0.034219,False
-50.0,750.0,-3.7164,0.0,0.05036,0.021472,False
-350.0,750.0,-4.496,12.0,0.16483,0.056363,False
-250.0,50.0,-0.89766,20.0,0.18342,0.08465,False
-500.0,1500.0,-8.4722,0.0,0.12991,0.032186,False
-300.0,750.0,-4.366,16.0,0.19775,0.0779,False
-100.0,1500.0,-7.4328,16.0,0.24883,0.099251,False
-250.0,50.0,-0.89766,4.0,0.042093,0.02812,False
-500.0,50.0,-1.5639,0.0,0.020872,0.03748,True
-500.0,50.0,-1.5639,4.0,0.05053,0.03985,True
-500.0,50.0,-1.5639,8.0,0.07886,0.04758,True
-500.0,50.0,-1.5639,12.0,0.10984,0.05495,True
-500.0,50.0,-1.5639,16.0,0.14429,0.07512,True
-500.0,50.0,-1.5639,20.0,0.2128,0.1158,True
-500.0,75.0,-1.6796,0.0,0.02245702281068525,0.03661954675958188,True
-500.0,75.0,-1.6796,4.0,0.05232519098722415,0.03917730058072009,True
-500.0,75.0,-1.6796,8.0,0.08075688873403021,0.047000935609756093,True
-500.0,75.0,-1.6796,12.0,0.11181912845528454,0.05470715094076655,True
-500.0,75.0,-1.6796,16.0,0.14629062903600465,0.07477658197444832,True
-500.0,75.0,-1.6796,20.0,0.21316228478513355,0.11456145904761905,True
-500.0,100.0,-1.7953,0.0,0.024042045621370498,0.035759093519163766,True
-500.0,100.0,-1.7953,4.0,0.05412038197444831,0.03850460116144019,True
-500.0,100.0,-1.7953,8.0,0.0826537774680604,0.0464218712195122,True
-500.0,100.0,-1.7953,12.0,0.11379825691056909,0.0544643018815331,True
-500.0,100.0,-1.7953,16.0,0.14829125807200927,0.07443316394889662,True
-500.0,100.0,-1.7953,20.0,0.21352456957026714,0.1133229180952381,True
-500.0,125.0,-1.912,0.0,0.025640767851335657,0.03489120334494774,True
-500.0,125.0,-1.912,4.0,0.05593108887340301,0.03782608757259001,True
-500.0,125.0,-1.912,8.0,0.08456706109175377,0.04583780195121952,True
-500.0,125.0,-1.912,12.0,0.11579449105691056,0.05421935386759581,True
-500.0,125.0,-1.912,16.0,0.15030917862950058,0.07408677774680605,True
-500.0,125.0,-1.912,20.0,0.2138899855981417,0.1120736723809524,True
-500.0,550.0,-3.9294,-4.0,0.028749764434180137,0.019525080831408775,True
-500.0,550.0,-3.9294,0.0,0.05770140482298614,0.022528759876859927,True
-500.0,550.0,-3.9294,4.0,0.0861826258660508,0.027876445727482678,True
-500.0,550.0,-3.9294,8.0,0.11590826856483262,0.03748252789534436,True
-500.0,550.0,-3.9294,12.0,0.149455727482679,0.051803628175519624,True
-500.0,550.0,-3.9294,16.0,0.18692856593124677,0.07159465623396613,True
-500.0,550.0,-3.9294,20.0,0.22492909930715937,0.09589745958429563,True
-500.0,575.0,-4.04895,-4.0,0.030241986538461538,0.019887057692307693,True
-500.0,575.0,-4.04895,0.0,0.05985992945100051,0.02283484222678296,True
-500.0,575.0,-4.04895,4.0,0.08757083461538462,0.02838671730769231,True
