lower_mfc_v,upper_mfc_v,deflection_mm,is_synthetic
-150.0,1150.0,-5.889,False
-450.0,1500.0,-8.3423,False
-500.0,350.0,-2.9756,False
-200.0,300.0,-1.9543,False
-250.0,1200.0,-6.388,False
-450.0,50.0,-1.4304,False
-500.0,1150.0,-6.7985,False
-100.0,850.0,-4.3245,False
-450.0,1350.0,-7.6247,False
-200.0,350.0,-2.1934,False
-350.0,950.0,-5.4524,False
-300.0,350.0,-2.4533,False
-150.0,1050.0,-5.4109,False
-200.0,700.0,-3.8671,False
-300.0,500.0,-3.1705,False
-50.0,650.0,-3.2382,False
-400.0,1150.0,-6.5387,False
-400.0,1250.0,-7.017,False
-400.0,350.0,-2.7137,False
-50.0,950.0,-4.6728,False
-250.0,700.0,-3.9997,False
-250.0,250.0,-1.8452,False
-500.0,1000.0,-6.0812,False
-300.0,250.0,-1.9758,False
-400.0,1000.0,-5.8214,False
-350.0,1250.0,-6.88671,False
-350.0,1450.0,-7.8432,False
-400.0,650.0,-4.1477,False
-500.0,800.0,-5.1248,False
-500.0,550.0,-3.9294,False
-200.0,750.0,-4.1062,False
-350.0,600.0,-3.7787,False
-400.0,450.0,-3.1913,False
-150.0,750.0,-3.9762,False
-450.0,400.0,-3.0827,False
-500.0,850.0,-5.364,False
-250.0,1500.0,-7.8226,False
-300.0,1400.0,-7.4744,False
-50.0,250.0,-1.3254,False
-400.0,400.0,-2.9524,False
-150.0,950.0,-4.9326,False
-400.0,500.0,-3.4304,False
-450.0,100.0,-1.6621,False
-200.0,200.0,-1.4762,False
-100.0,1300.0,-6.4764,False
-150.0,800.0,-4.2153,False
-300.0,1050.0,-5.8006,False
-500.0,950.0,-5.8421,False
-200.0,100.0,-1.0004,False
-350.0,350.0,-2.5833,False
-300.0,650.0,-3.8879,False
-100.0,1150.0,-5.7591,False
-400.0,1350.0,-7.4948,False
-100.0,450.0,-2.4117,False
-100.0,300.0,-1.6944,False
-350.0,1350.0,-7.3649,False
-300.0,1350.0,-7.2349,False
-50.0,1150.0,-5.6292,False
-200.0,900.0,-4.8235,False
-200.0,1350.0,-6.9751,False
-450.0,1300.0,-7.3859,False
-250.0,1150.0,-6.1489,False
-200.0,250.0,-1.7152,False
-250.0,900.0,-4.9534,False
-300.0,1000.0,-5.5615,False
-100.0,700.0,-3.6072,False
-450.0,450.0,-3.3214,False
