lower_mfc_v,upper_mfc_v,deflection_mm,is_synthetic
-500.0,50.0,-1.5639,False
-500.0,100.0,-1.7953,False
-500.0,150.0,-2.0287,False
-500.0,200.0,-2.2639,False
-500.0,250.0,-2.5011,False
-500.0,300.0,-2.7383,False
-500.0,350.0,-2.9756,False
-500.0,400.0,-3.2136,False
-500.0,450.0,-3.4517,False
-500.0,500.0,-3.6905,False
-500.0,550.0,-3.9294,False
-500.0,600.0,-4.1685,False
-500.0,650.0,-4.4076,False
-500.0,700.0,-4.6467,False
-500.0,750.0,-4.8858,False
-500.0,800.0,-5.1248,False
-500.0,850.0,-5.364,False
-500.0,900.0,-5.603,False
-500.0,950.0,-5.8421,False
-500.0,1000.0,-6.0812,False
-500.0,1050.0,-6.3204,False
-500.0,1100.0,-6.5594,False
-500.0,1150.0,-6.7985,False
-500.0,1200.0,-7.0376,False
-500.0,1250.0,-7.2769,False
-500.0,1300.0,-7.5158,False
-500.0,1350.0,-7.7546,False
-500.0,1400.0,-7.9941,False
-500.0,1450.0,-8.233,False
-500.0,1500.0,-8.4722,False
-450.0,50.0,-1.4304,False
-450.0,100.0,-1.6621,False
-450.0,150.0,-1.896,False
-450.0,200.0,-2.1324,False
-450.0,250.0,-2.3696,False
-450.0,300.0,-2.6068,False
-450.0,350.0,-2.8447,False
-450.0,400.0,-3.0827,False
-450.0,450.0,-3.3214,False
-450.0,500.0,-3.5603,False
-450.0,550.0,-3.7994,False
-450.0,600.0,-4.0385,False
-450.0,650.0,-4.2777,False
-450.0,700.0,-4.5167,False
-450.0,750.0,-4.7558,False
-450.0,800.0,-4.9949,False
-450.0,850.0,-5.234,False
-450.0,900.0,-5.4731,False
-450.0,950.0,-5.7122,False
-450.0,1000.0,-5.9513,False
-450.0,1050.0,-6.1904,False
-450.0,1100.0,-6.4295,False
-450.0,1150.0,-6.6686,False
-450.0,1200.0,-6.9077,False
-450.0,1250.0,-7.1469,False
-450.0,1300.0,-7.3859,False
-450.0,1350.0,-7.6247,False
-450.0,1400.0,-7.8642,False
-450.0,1450.0,-8.1031,False
-450.0,1500.0,-8.3423,False
-400.0,50.0,-1.2972,False
-400.0,100.0,-1.5294,False
-400.0,150.0,-1.7637,False
-400.0,200.0,-2.0009,False
-400.0,250.0,-2.2381,False
-400.0,300.0,-2.4757,False
-400.0,350.0,-2.7137,False
-400.0,400.0,-2.9524,False
-400.0,450.0,-3.1913,False
-400.0,500.0,-3.4304,False
-400.0,550.0,-3.6695,False
-400.0,600.0,-3.9086,False
-400.0,650.0,-4.1477,False
-400.0,700.0,-4.3868,False
-400.0,750.0,-4.6259,False
-400.0,800.0,-4.865,False
-400.0,850.0,-5.1041,False
-400.0,900.0,-5.3432,False
-400.0,950.0,-5.5823,False
-400.0,1000.0,-5.8214,False
-400.0,1050.0,-6.0605,False
-400.0,1100.0,-6.2996,False
-400.0,1150.0,-6.5387,False
-400.0,1200.0,-6.7778,False
-400.0,1250.0,-7.017,False
-400.0,1300.0,-7.256,False
-400.0,1350.0,-7.4948,False
-400.0,1400.0,-7.7343,False
-400.0,1450.0,-7.9732,False
-400.0,1500.0,-8.2124,False
-350.0,50.0,-1.164,False
-350.0,100.0,-1.3967,False
-350.0,150.0,-1.6322,False
-350.0,200.0,-1.8694,False
-350.0,250.0,-2.1067,False
-350.0,300.0,-2.3448,False
-350.0,350.0,-2.5833,False
-350.0,400.0,-2.8223,False
-350.0,450.0,-3.0614,False
-350.0,500.0,-3.3005,False
-350.0,550.0,-3.5396,False
-350.0,600.0,-3.7787,False
-350.0,650.0,-4.0178,False
-350.0,700.0,-4.2569,False
-350.0,750.0,-4.496,False
-350.0,800.0,-4.7351,False
-350.0,850.0,-4.9742,False
-350.0,900.0,-5.2133,False
-350.0,950.0,-5.4524,False
-350.0,1000.0,-5.6915,False
-350.0,1050.0,-5.9306,False
-350.0,1100.0,-6.1696,False
-350.0,1150.0,-6.4087,False
-350.0,1200.0,-6.6478,False
-350.0,1250.0,-6.88671,False
-350.0,1300.0,-7.126,False
-350.0,1350.0,-7.3649,False
-350.0,1400.0,-7.6044,False
-350.0,1450.0,-7.8432,False
-350.0,1500.0,-8.0824,False
-300.0,50.0,-1.0308,False
-300.0,100.0,-1.264,False
-300.0,150.0,-1.5007,False
-300.0,200.0,-1.7378,False
-300.0,250.0,-1.9758,False
-300.0,300.0,-2.2143,False
-300.0,350.0,-2.4533,False
-300.0,400.0,-2.6924,False
-300.0,450.0,-2.9315,False
