lower_mfc_v,upper_mfc_v,deflection_mm,pitch_deg,cl,cd,is_synthetic
-500.0,50.0,-1.5639,-4.0,0.014349387282557594,0.016878450399623886,True
-500.0,50.0,-1.5639,0.0,0.020872,0.03748,True
-500.0,50.0,-1.5639,4.0,0.05053,0.03985,True
-500.0,50.0,-1.5639,8.0,0.07886,0.04758,True
-500.0,50.0,-1.5639,12.0,0.10984,0.05495,True
-500.0,50.0,-1.5639,16.0,0.14429,0.07512,True
-500.0,50.0,-1.5639,20.0,0.2128,0.1158,True
-500.0,75.0,-1.6796,-4.0,0.014979064723397585,0.016992863030872905,True
-500.0,75.0,-1.6796,0.0,0.022457022810685248,0.036619546759581886,True
-500.0,75.0,-1.6796,4.0,0.05232519098722415,0.03917730058072009,True
-500.0,75.0,-1.6796,8.0,0.08075688873403021,0.047000935609756093,True
-500.0,75.0,-1.6796,12.0,0.11181912845528454,0.05470715094076655,True
-500.0,75.0,-1.6796,16.0,0.14629062903600465,0.07477658197444832,True
-500.0,75.0,-1.6796,20.0,0.21316228478513355,0.11456145904761905,True
-500.0,100.0,-1.7953,-4.0,0.01560874216423758,0.017107275662121925,True
-500.0,100.0,-1.7953,0.0,0.024042045621370495,0.035759093519163766,True
-500.0,100.0,-1.7953,4.0,0.05412038197444831,0.03850460116144019,True
-500.0,100.0,-1.7953,8.0,0.0826537774680604,0.0464218712195122,True
-500.0,100.0,-1.7953,12.0,0.11379825691056909,0.0544643018815331,True
-500.0,100.0,-1.7953,16.0,0.14829125807200927,0.07443316394889662,True
-500.0,100.0,-1.7953,20.0,0.21352456957026714,0.1133229180952381,True
-500.0,125.0,-1.912,-4.0,0.016243861933866163,0.017222677166588308,True
-500.0,125.0,-1.912,0.0,0.025640767851335657,0.03489120334494774,True
-500.0,125.0,-1.912,4.0,0.05593108887340301,0.03782608757259001,True
-500.0,125.0,-1.912,8.0,0.08456706109175377,0.04583780195121952,True
-500.0,125.0,-1.912,12.0,0.11579449105691056,0.05421935386759581,True
-500.0,125.0,-1.912,16.0,0.15030917862950058,0.07408677774680605,True
-500.0,125.0,-1.912,20.0,0.2138899855981417,0.1120736723809524,True
-500.0,150.0,-2.0287,-4.0,0.01687898170349475,0.017338078671054694,True
-500.0,150.0,-2.0287,0.0,0.027239490081300815,0.034023313170731706,True
-500.0,150.0,-2.0287,4.0,0.057741795772357725,0.037147573983739836,True
-500.0,150.0,-2.0287,8.0,0.08648034471544716,0.045253732682926824,True
-500.0,150.0,-2.0287,12.0,0.11779072520325204,0.053974405853658536,True
-500.0,150.0,-2.0287,16.0,0.1523270991869919,0.07374039154471546,True
-500.0,150.0,-2.0287,20.0,0.21425540162601625,0.11082442666666666,True
-500.0,175.0,-2.1463,-4.0,0.017518999569033068,0.017454370161416707,True
-500.0,175.0,-2.1463,0.0,0.028850541788617887,0.03314872975609756,True
-500.0,175.0,-2.1463,4.0,0.05956646699186992,0.03646382764227642,True
-500.0,175.0,-2.1463,8.0,0.0884083837398374,0.04466515902439024,True
-500.0,175.0,-2.1463,12.0,0.11980235447154472,0.0537275687804878,True
-500.0,175.0,-2.1463,16.0,0.15436058211382114,0.07339133398373984,True
-500.0,175.0,-2.1463,20.0,0.21462363577235774,0.10956554666666668,True
-500.0,200.0,-2.2639,-4.0,0.018159017434571385,0.017570661651778716,True
-500.0,200.0,-2.2639,0.0,0.03046159349593496,0.03227414634146342,True
-500.0,200.0,-2.2639,4.0,0.06139113821138211,0.035780081300813005,True
-500.0,200.0,-2.2639,8.0,0.09033642276422764,0.044076585365853654,True
-500.0,200.0,-2.2639,12.0,0.12181398373983739,0.05348073170731707,True
-500.0,200.0,-2.2639,16.0,0.1563940650406504,0.07304227642276423,True
-500.0,200.0,-2.2639,20.0,0.21499186991869917,0.10830666666666666,True
-500.0,225.0,-2.3825000000000003,-4.0,0.018804477628898295,0.017687942015358095,True
-500.0,225.0,-2.3825000000000003,0.0,0.03208634462253194,0.03139212599303136,True
-500.0,225.0,-2.3825000000000003,4.0,0.06323132534262485,0.035090520789779325,True
-500.0,225.0,-2.3825000000000003,8.0,0.09228085667828106,0.04348300682926829,True
-500.0,225.0,-2.3825000000000003,12.0,0.12384271869918699,0.05323179567944251,True
-500.0,225.0,-2.3825000000000003,16.0,0.15844483948896632,0.07269025068524972,True
-500.0,225.0,-2.3825000000000003,20.0,0.21536323530778165,0.10703708190476191,True
-500.0,250.0,-2.5011,-4.0,0.0194499378232252,0.01780522237893747,True
-500.0,250.0,-2.5011,0.0,0.03371109574912892,0.030510105644599307,True
-500.0,250.0,-2.5011,4.0,0.0650715124738676,0.034400960278745646,True
